Date,Price
"Jan 31, 2021","136,76"
"Jan 24, 2021","131,96"
"Jan 17, 2021","139,07"
"Jan 10, 2021","127,14"
"Jan 03, 2021","132,05"
"Dec 27, 2020","132,69"
"Dec 20, 2020","131,97"
"Dec 13, 2020","126,65"
"Dec 06, 2020","122,41"
"Nov 29, 2020","122,25"
"Nov 22, 2020","116,59"
"Nov 15, 2020","117,34"
"Nov 08, 2020","119,26"
"Nov 01, 2020","118,69"
"Oct 25, 2020","108,86"
"Oct 18, 2020","115,04"
"Oct 11, 2020","119,02"
"Oct 04, 2020","116,97"
"Sep 27, 2020","113,02"
"Sep 20, 2020","112,28"
"Sep 13, 2020","106,84"
"Sep 06, 2020",112
"Aug 30, 2020","120,96"
"Aug 23, 2020","124,81"
"Aug 16, 2020","124,37"
"Aug 09, 2020","114,91"
"Aug 02, 2020","111,11"
"Jul 26, 2020","106,26"
"Jul 19, 2020","92,61"
"Jul 12, 2020","96,33"
"Jul 05, 2020","95,92"
"Jun 28, 2020","91,03"
"Jun 21, 2020","88,41"
"Jun 14, 2020","87,43"
"Jun 07, 2020","84,7"
"May 31, 2020","82,88"
"May 24, 2020","79,49"
"May 17, 2020","79,72"
"May 10, 2020","76,93"
"May 03, 2020","77,53"
"Apr 26, 2020","72,27"
"Apr 19, 2020","70,74"
"Apr 12, 2020","70,7"
"Apr 05, 2020",67
"Mar 29, 2020","60,35"
"Mar 22, 2020","61,94"
"Mar 15, 2020","57,31"
"Mar 08, 2020","69,49"
"Mar 01, 2020","72,26"
"Feb 23, 2020","68,34"
"Feb 16, 2020","78,26"
"Feb 09, 2020","81,24"
"Feb 02, 2020","80,01"
"Jan 26, 2020","77,38"
"Jan 19, 2020","79,58"
"Jan 12, 2020","79,68"
"Jan 05, 2020","77,58"
"Dec 29, 2019","74,36"
"Dec 22, 2019","72,45"
"Dec 15, 2019","69,86"
"Dec 08, 2019","68,79"
"Dec 01, 2019","67,68"
"Nov 24, 2019","66,81"
"Nov 17, 2019","65,44"
"Nov 10, 2019","66,44"
"Nov 03, 2019","65,04"
"Oct 27, 2019","63,96"
"Oct 20, 2019","61,65"
"Oct 13, 2019","59,1"
"Oct 06, 2019","59,05"
"Sep 29, 2019","56,75"
"Sep 22, 2019","54,71"
"Sep 15, 2019","54,43"
"Sep 08, 2019","54,69"
"Sep 01, 2019","53,31"
"Aug 25, 2019","52,19"
"Aug 18, 2019","50,66"
"Aug 11, 2019","51,63"
"Aug 04, 2019","50,25"
"Jul 28, 2019","51,01"
"Jul 21, 2019","51,94"
"Jul 14, 2019","50,65"
"Jul 07, 2019","50,83"
"Jun 30, 2019","51,06"
"Jun 23, 2019","49,48"
"Jun 16, 2019","49,69"
"Jun 09, 2019","48,19"
"Jun 02, 2019","47,54"
"May 26, 2019","43,77"
"May 19, 2019","44,74"
"May 12, 2019","47,25"
"May 05, 2019","49,29"
"Apr 28, 2019","52,94"
"Apr 21, 2019","51,08"
"Apr 14, 2019","50,97"
"Apr 07, 2019","49,72"
"Mar 31, 2019","49,25"
"Mar 24, 2019","47,49"
"Mar 17, 2019","47,76"
"Mar 10, 2019","46,53"
"Mar 03, 2019","43,23"
"Feb 24, 2019","43,74"
"Feb 17, 2019","43,24"
"Feb 10, 2019","42,6"
"Feb 03, 2019","42,6"
"Jan 27, 2019","41,63"
"Jan 20, 2019","39,44"
"Jan 13, 2019","39,21"
"Jan 06, 2019","38,07"
"Dec 30, 2018","37,06"
"Dec 23, 2018","39,06"
"Dec 16, 2018","37,68"
"Dec 09, 2018","41,37"
"Dec 02, 2018","42,12"
"Nov 25, 2018","44,65"
"Nov 18, 2018","43,07"
"Nov 11, 2018","48,38"
"Nov 04, 2018","51,12"
"Oct 28, 2018","51,87"
"Oct 21, 2018","54,08"
"Oct 14, 2018","54,83"
"Oct 07, 2018","55,53"
"Sep 30, 2018","56,07"
"Sep 23, 2018","56,44"
"Sep 16, 2018","54,42"
"Sep 09, 2018","55,96"
"Sep 02, 2018","55,33"
"Aug 26, 2018","56,91"
"Aug 19, 2018","54,04"
"Aug 12, 2018","54,4"
"Aug 05, 2018","51,88"
"Jul 29, 2018",52
"Jul 22, 2018","47,74"
"Jul 15, 2018","47,86"
"Jul 08, 2018","47,83"
"Jul 01, 2018","46,99"
"Jun 24, 2018","46,28"
"Jun 17, 2018","46,23"
"Jun 10, 2018","47,21"
"Jun 03, 2018","47,92"
"May 27, 2018","47,56"
"May 20, 2018","47,15"
"May 13, 2018","46,58"
"May 06, 2018","47,15"
"Apr 29, 2018","45,96"
"Apr 22, 2018","40,58"
"Apr 15, 2018","41,43"
"Apr 08, 2018","43,68"
"Apr 01, 2018","42,1"
"Mar 25, 2018","41,94"
"Mar 18, 2018","41,24"
"Mar 11, 2018","44,51"
"Mar 04, 2018","44,99"
"Feb 25, 2018","44,05"
"Feb 18, 2018","43,88"
"Feb 11, 2018","43,11"
"Feb 04, 2018","39,1"
"Jan 28, 2018","40,13"
"Jan 21, 2018","42,88"
"Jan 14, 2018","44,62"
"Jan 07, 2018","44,27"
"Dec 31, 2017","43,75"
"Dec 24, 2017","42,31"
"Dec 17, 2017","43,75"
"Dec 10, 2017","43,49"
"Dec 03, 2017","42,34"
"Nov 26, 2017","42,76"
"Nov 19, 2017","43,74"
"Nov 12, 2017","42,54"
"Nov 05, 2017","43,67"
"Oct 29, 2017","43,13"
"Oct 22, 2017","40,76"
"Oct 15, 2017","39,06"
"Oct 08, 2017","39,25"
"Oct 01, 2017","38,83"
"Sep 24, 2017","38,53"
"Sep 17, 2017","37,97"
"Sep 10, 2017","39,97"
"Sep 03, 2017","39,66"
"Aug 27, 2017","41,01"
"Aug 20, 2017","39,97"
"Aug 13, 2017","39,38"
"Aug 06, 2017","39,37"
"Jul 30, 2017","39,1"
"Jul 23, 2017","37,38"
"Jul 16, 2017","37,57"
"Jul 09, 2017","37,26"
"Jul 02, 2017","36,04"
"Jun 25, 2017","36,01"
"Jun 18, 2017","36,57"
"Jun 11, 2017","35,57"
"Jun 04, 2017","37,24"
"May 28, 2017","38,86"
"May 21, 2017","38,4"
"May 14, 2017","38,26"
"May 07, 2017","39,03"
"Apr 30, 2017","37,24"
"Apr 23, 2017","35,91"
"Apr 16, 2017","35,57"
"Apr 09, 2017","35,26"
"Apr 02, 2017","35,83"
"Mar 26, 2017","35,92"
"Mar 19, 2017","35,16"
"Mar 12, 2017",35
"Mar 05, 2017","34,78"
"Feb 26, 2017","34,94"
"Feb 19, 2017","34,17"
"Feb 12, 2017","33,93"
"Feb 05, 2017","33,03"
"Jan 29, 2017","32,27"
"Jan 22, 2017","30,49"
"Jan 15, 2017",30
"Jan 08, 2017","29,76"
"Jan 01, 2017","29,48"
"Dec 25, 2016","28,95"
"Dec 18, 2016","29,13"
"Dec 11, 2016","28,99"
"Dec 04, 2016","28,49"
"Nov 27, 2016","27,48"
"Nov 20, 2016","27,95"
"Nov 13, 2016","27,51"
"Nov 06, 2016","27,11"
"Oct 30, 2016","27,21"
"Oct 23, 2016","28,43"
"Oct 16, 2016","29,15"
"Oct 09, 2016","29,41"
"Oct 02, 2016","28,51"
"Sep 25, 2016","28,26"
"Sep 18, 2016","28,18"
"Sep 11, 2016","28,73"
"Sep 04, 2016","25,78"
"Aug 28, 2016","26,93"
"Aug 21, 2016","26,74"
"Aug 14, 2016","27,34"
"Aug 07, 2016","27,05"
"Jul 31, 2016","26,87"
"Jul 24, 2016","26,05"
"Jul 17, 2016","24,67"
"Jul 10, 2016","24,69"
"Jul 03, 2016","24,17"
"Jun 26, 2016","23,97"
"Jun 19, 2016","23,35"
"Jun 12, 2016","23,83"
"Jun 05, 2016","24,71"
"May 29, 2016","24,48"
"May 22, 2016","25,09"
"May 15, 2016","23,81"
"May 08, 2016","22,63"
"May 01, 2016","23,18"
"Apr 24, 2016","23,43"
"Apr 17, 2016","26,42"
"Apr 10, 2016","27,46"
"Apr 03, 2016","27,17"
"Mar 27, 2016","27,5"
"Mar 20, 2016","26,42"
"Mar 13, 2016","26,48"
"Mar 06, 2016","25,57"
"Feb 28, 2016","25,75"
"Feb 21, 2016","24,23"
"Feb 14, 2016","24,01"
"Feb 07, 2016","23,5"
"Jan 31, 2016","23,5"
"Jan 24, 2016","24,33"
"Jan 17, 2016","25,35"
"Jan 10, 2016","24,28"
"Jan 03, 2016","24,24"
"Dec 27, 2015","26,32"
"Dec 20, 2015","27,01"
"Dec 13, 2015","26,51"
"Dec 06, 2015","28,3"
"Nov 29, 2015","29,76"
"Nov 22, 2015","29,45"
"Nov 15, 2015","29,83"
"Nov 08, 2015","28,08"
"Nov 01, 2015","30,26"
"Oct 25, 2015","29,88"
"Oct 18, 2015","29,77"
"Oct 11, 2015","27,76"
"Oct 04, 2015","28,03"
"Sep 27, 2015","27,59"
"Sep 20, 2015","28,68"
"Sep 13, 2015","28,36"
"Sep 06, 2015","28,55"
"Aug 30, 2015","27,32"
"Aug 23, 2015","28,32"
"Aug 16, 2015","26,44"
"Aug 09, 2015","28,99"
"Aug 02, 2015","28,88"
"Jul 26, 2015","30,33"
"Jul 19, 2015","31,13"
"Jul 12, 2015","32,4"
"Jul 05, 2015","30,82"
"Jun 28, 2015","31,61"
"Jun 21, 2015","31,69"
"Jun 14, 2015","31,65"
"Jun 07, 2015","31,79"
"May 31, 2015","32,16"
"May 24, 2015","32,57"
"May 17, 2015","33,13"
"May 10, 2015","32,19"
"May 03, 2015","31,91"
"Apr 26, 2015","32,24"
"Apr 19, 2015","32,57"
"Apr 12, 2015","31,19"
"Apr 05, 2015","31,77"
"Mar 29, 2015","31,33"
"Mar 22, 2015","30,81"
"Mar 15, 2015","31,48"
"Mar 08, 2015","30,9"
"Mar 01, 2015","31,65"
"Feb 22, 2015","32,12"
"Feb 15, 2015","32,37"
"Feb 08, 2015","31,77"
"Feb 01, 2015","29,73"
"Jan 25, 2015","29,29"
"Jan 18, 2015","28,25"
"Jan 11, 2015","26,5"
"Jan 04, 2015",28
"Dec 28, 2014","27,33"
"Dec 21, 2014","28,5"
"Dec 14, 2014","27,95"
"Dec 07, 2014","27,43"
"Nov 30, 2014","28,75"
"Nov 23, 2014","29,73"
"Nov 16, 2014","29,12"
"Nov 09, 2014","28,55"
"Nov 02, 2014","27,25"
"Oct 26, 2014",27
"Oct 19, 2014","26,3"
"Oct 12, 2014","24,42"
"Oct 05, 2014","25,18"
"Sep 28, 2014","24,91"
"Sep 21, 2014","25,19"
"Sep 14, 2014","25,24"
"Sep 07, 2014","25,41"
"Aug 31, 2014","24,74"
"Aug 24, 2014","25,62"
"Aug 17, 2014","25,33"
"Aug 10, 2014","24,5"
"Aug 03, 2014","23,68"
"Jul 27, 2014","24,03"
"Jul 20, 2014","24,42"
"Jul 13, 2014","23,61"
"Jul 06, 2014","23,8"
"Jun 29, 2014","23,51"
"Jun 22, 2014",23
"Jun 15, 2014","22,73"
"Jun 08, 2014","22,82"
"Jun 01, 2014","23,06"
"May 25, 2014","22,61"
"May 18, 2014","21,93"
"May 11, 2014","21,34"
"May 04, 2014","20,91"
"Apr 27, 2014","21,16"
"Apr 20, 2014","20,43"
"Apr 13, 2014","18,75"
"Apr 06, 2014","18,56"
"Mar 30, 2014","18,99"
"Mar 23, 2014","19,17"
"Mar 16, 2014","19,03"
"Mar 09, 2014","18,74"
"Mar 02, 2014","18,94"
"Feb 23, 2014","18,79"
"Feb 16, 2014","18,76"
"Feb 09, 2014","19,43"
"Feb 02, 2014","18,56"
"Jan 26, 2014","17,88"
"Jan 19, 2014","19,5"
"Jan 12, 2014","19,31"
"Jan 05, 2014","19,03"
"Dec 29, 2013","19,32"
