Date,Price,Open,High,Low,Vol.,Change %,,Date,Price,Open,High,Low,Vol.,Change %
"Mar 11, 2021","3953,95","3926,8","3958,4","3921,42",-,1.41%,,"Mar 11, 2021","122,15","122,42","123,12","121,31",56.38M,1.81%
"Mar 10, 2021","3898,81","3891,99","3917,35","3885,73",-,0.60%,,"Mar 10, 2021","119,98","121,78","122,13","119,46",111.94M,-0.91%
"Mar 09, 2021","3875,44","3851,93","3903,76","3851,93",-,1.42%,,"Mar 09, 2021","121,08","119,04","122,04","118,82",129.53M,4.06%
"Mar 08, 2021","3821,35","3844,39","3881,06","3819,25",-,-0.54%,,"Mar 08, 2021","116,36","120,98","120,98","116,21",154.38M,-4.17%
"Mar 05, 2021","3841,94","3793,58","3851,69","3730,19",-,1.95%,,"Mar 05, 2021","121,42","120,98","121,93","117,57",153.77M,1.07%
"Mar 04, 2021","3768,47","3818,53","3843,67","3723,34",-,-1.34%,,"Mar 04, 2021","120,13","121,75","123,6","118,62",178.16M,-1.58%
"Mar 03, 2021","3819,72","3863,99","3874,47","3818,86",-,-1.31%,,"Mar 03, 2021","122,06","124,81","125,71","121,84",112.97M,-2.45%
"Mar 02, 2021","3870,29","3903,64","3906,41","3868,57",-,-0.81%,,"Mar 02, 2021","125,12","128,41","128,72","125,01",102.26M,-2.09%
"Mar 01, 2021","3901,82","3842,51","3914,5","3842,51",-,2.38%,,"Mar 01, 2021","127,79","123,75","127,93","122,79",116.31M,5.39%
"Feb 26, 2021","3811,15","3839,66","3861,08","3789,54",-,-0.48%,,"Feb 26, 2021","121,26","122,59","124,85","121,2",164.56M,0.22%
"Feb 25, 2021","3829,34","3915,8","3925,02","3814,04",-,-2.45%,,"Feb 25, 2021","120,99","124,68","126,46","120,54",148.20M,-3.48%
"Feb 24, 2021","3925,43","3873,71","3928,65","3859,6",-,1.14%,,"Feb 24, 2021","125,35","124,94","125,56","122,23",111.04M,-0.41%
"Feb 23, 2021","3881,37","3857,07","3895,98","3805,59",-,0.13%,,"Feb 23, 2021","125,86","123,76","126,71","118,39",158.27M,-0.11%
"Feb 22, 2021","3876,5","3885,55","3902,92","3874,71",-,-0.77%,,"Feb 22, 2021",126,"128,01","129,72","125,6",103.92M,-2.98%
"Feb 19, 2021","3906,71","3921,16","3930,41","3903,07",-,-0.19%,,"Feb 19, 2021","129,87","130,24","130,71","128,8",87.67M,0.12%
"Feb 18, 2021","3913,97","3915,86","3921,98","3885,03",-,-0.44%,,"Feb 18, 2021","129,71","129,2","129,99","127,41",96.86M,-0.86%
"Feb 17, 2021","3931,33","3918,5","3933,61","3900,43",-,-0.03%,,"Feb 17, 2021","130,84","131,25","132,22","129,47",98.09M,-1.76%
"Feb 16, 2021","3932,59","3939,61","3950,43","3923,85",-,-0.06%,,"Feb 16, 2021","133,19","135,49","136,01","132,79",80.58M,-1.61%
"Feb 12, 2021","3934,83","3911,65","3937,23","3905,78",-,0.47%,,"Feb 12, 2021","135,37","134,35","135,53","133,69",60.15M,0.18%
"Feb 11, 2021","3916,38","3916,4","3925,99","3890,39",-,0.17%,,"Feb 11, 2021","135,13","135,9","136,39","133,77",64.28M,-0.19%
"Feb 10, 2021","3909,88","3920,78","3931,5","3884,94",-,-0.03%,,"Feb 10, 2021","135,39","136,48","136,99","134,4",73.05M,-0.46%
"Feb 09, 2021","3911,23","3910,49","3918,35","3902,64",-,-0.11%,,"Feb 09, 2021","136,01","136,62","137,88","135,85",76.77M,-0.66%
"Feb 08, 2021","3915,59","3892,59","3915,77","3892,59",-,0.74%,,"Feb 08, 2021","136,91","136,03","136,96","134,92",71.30M,0.11%
"Feb 05, 2021","3886,83","3878,3","3894,56","3874,93",-,0.39%,,"Feb 05, 2021","136,76","137,35","137,42","135,86",75.69M,-0.46%
"Feb 04, 2021","3871,74","3836,66","3872,42","3836,66",-,1.09%,,"Feb 04, 2021","137,39","136,3","137,4","134,59",84.18M,2.58%
"Feb 03, 2021","3830,17","3840,27","3847,51","3816,68",-,0.10%,,"Feb 03, 2021","133,94","135,76","135,77","133,61",89.88M,-0.78%
"Feb 02, 2021","3826,31","3791,84","3843,09","3791,84",-,1.39%,,"Feb 02, 2021","134,99","135,73","136,31","134,61",83.31M,0.63%
"Feb 01, 2021","3773,86","3731,17","3784,32","3725,62",-,1.61%,,"Feb 01, 2021","134,14","133,75","135,38","130,93",106.24M,1.65%
"Jan 29, 2021","3714,24","3778,05","3778,05","3694,12",-,-1.93%,,"Jan 29, 2021","131,96","135,83","136,74","130,21",177.52M,-3.74%
"Jan 28, 2021","3787,38","3755,75","3830,5","3755,75",-,0.98%,,"Jan 28, 2021","137,09","139,52","141,99","136,7",142.62M,-3.50%
"Jan 27, 2021","3750,77","3836,83","3836,83","3732,48",-,-2.57%,,"Jan 27, 2021","142,06","143,43","144,3","140,41",140.84M,-0.77%
"Jan 26, 2021","3849,62","3862,96","3870,9","3847,78",-,-0.15%,,"Jan 26, 2021","143,16","143,6","144,3","141,37",98.39M,0.17%
"Jan 25, 2021","3855,36","3851,68","3859,23","3797,16",-,0.36%,,"Jan 25, 2021","142,92","143,07","145,09","136,54",157.61M,2.77%
"Jan 22, 2021","3841,47","3844,24","3852,31","3830,41",-,-0.30%,,"Jan 22, 2021","139,07","136,28","139,85","135,02",114.46M,1.61%
"Jan 21, 2021","3853,07","3857,46","3861,45","3845,05",-,0.03%,,"Jan 21, 2021","136,87","133,8","139,67","133,59",120.53M,3.67%
"Jan 20, 2021","3851,85","3816,22","3859,75","3816,22",-,1.39%,,"Jan 20, 2021","132,03","128,66","132,49","128,55",104.32M,3.29%
"Jan 19, 2021","3798,91","3781,88","3804,53","3780,37",-,0.81%,,"Jan 19, 2021","127,83","127,78","128,71","126,94",90.76M,0.54%
"Jan 15, 2021","3768,25","3788,73","3788,73","3749,62",-,-0.72%,,"Jan 15, 2021","127,14","128,78","130,22",127,111.60M,-1.37%
"Jan 14, 2021","3795,54","3814,98","3823,6","3792,86",-,-0.38%,,"Jan 14, 2021","128,91","130,8",131,"128,76",90.22M,-1.51%
"Jan 13, 2021","3809,84","3802,23","3820,96","3791,5",-,0.23%,,"Jan 13, 2021","130,89","128,76","131,45","128,49",88.64M,1.62%
"Jan 12, 2021","3801,19","3801,62","3810,78","3776,51",-,0.04%,,"Jan 12, 2021","128,8","128,5","129,69","126,86",91.95M,-0.14%
"Jan 11, 2021","3799,61","3803,14","3817,86","3789,02",-,-0.66%,,"Jan 11, 2021","128,98","129,19","130,17","128,5",100.62M,-2.32%
"Jan 08, 2021","3824,68","3815,05","3826,69","3783,6",-,0.55%,,"Jan 08, 2021","132,05","132,43","132,63","130,23",105.16M,0.86%
"Jan 07, 2021","3803,79","3764,71","3811,55","3764,71",-,1.48%,,"Jan 07, 2021","130,92","128,36","131,63","127,86",109.58M,3.41%
"Jan 06, 2021","3748,14","3712,2","3783,04","3705,34",-,0.57%,,"Jan 06, 2021","126,6","127,72","131,05","126,38",155.09M,-3.37%
"Jan 05, 2021","3726,86","3698,02","3737,83","3695,07",-,0.71%,,"Jan 05, 2021","131,01","128,89","131,74","128,43",97.67M,1.24%
"Jan 04, 2021","3700,65","3764,61","3769,99","3662,71",-,-1.48%,,"Jan 04, 2021","129,41","133,52","133,61","126,76",143.30M,-2.47%
"Dec 31, 2020","3756,07","3733,27","3760,2","3726,88",-,0.64%,,"Dec 31, 2020","132,69","134,08","134,74","131,72",99.12M,-0.77%
"Dec 30, 2020","3732,04","3736,19","3744,63","3730,21",-,0.13%,,"Dec 30, 2020","133,72","135,58","135,99","133,4",96.45M,-0.85%
"Dec 29, 2020","3727,04","3750,01","3756,12","3723,31",-,-0.22%,,"Dec 29, 2020","134,87","138,05","138,79","134,34",121.05M,-1.33%
"Dec 28, 2020","3735,36","3723,03","3740,51","3723,03",-,0.87%,,"Dec 28, 2020","136,69","133,99","137,34","133,51",124.49M,3.58%
"Dec 24, 2020","3703,06","3694,03","3703,82","3689,32",-,0.35%,,"Dec 24, 2020","131,97","131,32","133,46","131,1",54.93M,0.77%
"Dec 23, 2020","3690,01","3693,42","3711,24","3689,28",-,0.07%,,"Dec 23, 2020","130,96","132,16","132,43","130,78",88.22M,-0.70%
"Dec 22, 2020","3687,26","3698,08","3698,26","3676,16",-,-0.21%,,"Dec 22, 2020","131,88","131,61","134,4","129,65",169.35M,2.85%
"Dec 21, 2020","3694,92","3684,28","3702,9","3636,48",-,-0.39%,,"Dec 21, 2020","128,23","125,02","128,31","123,45",121.25M,1.24%
"Dec 18, 2020","3709,41","3722,39","3726,7","3685,84",-,-0.35%,,"Dec 18, 2020","126,65","128,96","129,1","126,12",192.54M,-1.59%
"Dec 17, 2020","3722,48","3713,65","3725,12","3710,87",-,0.58%,,"Dec 17, 2020","128,7","128,9","129,58","128,04",94.36M,0.70%
"Dec 16, 2020","3701,17","3696,25","3711,27","3688,57",-,0.18%,,"Dec 16, 2020","127,81","127,41","128,37","126,56",98.21M,-0.05%
"Dec 15, 2020","3694,62","3666,41","3695,29","3659,62",-,1.29%,,"Dec 15, 2020","127,88","124,34","127,9","124,13",157.57M,5.01%
"Dec 14, 2020","3647,49","3675,27","3697,61","3645,84",-,-0.44%,,"Dec 14, 2020","121,78","122,6","123,35","121,54",79.08M,-0.51%
"Dec 11, 2020","3663,46","3656,08","3665,91","3633,4",-,-0.13%,,"Dec 11, 2020","122,41","122,43","122,76","120,55",86.94M,-0.67%
"Dec 10, 2020","3668,1","3659,13","3678,49","3645,18",-,-0.13%,,"Dec 10, 2020","123,24","120,5","123,87","120,15",81.31M,1.20%
