Date,Price,Open,High,Low,Vol.,Change %,Date,Price,Open,High,Low,Vol.,Change %
"Jan 31, 2021","136,76","133,75","137,42","130,93",439.30M,3.64%,"Jan 31, 2021","3886,83","3731,17","3894,56","3725,62",-,4.65%
"Jan 24, 2021","131,96","143,07","145,09","130,21",716.99M,-5.11%,"Jan 24, 2021","3714,24","3851,68","3870,9","3694,12",-,-3.31%
"Jan 17, 2021","139,07","127,78","139,85","126,94",430.07M,9.38%,"Jan 17, 2021","3841,47","3781,88","3861,45","3780,37",-,1.94%
"Jan 10, 2021","127,14","129,19","131,45","126,86",483.03M,-3.72%,"Jan 10, 2021","3768,25","3803,14","3823,6","3749,62",-,-1.48%
"Jan 03, 2021","132,05","133,52","133,61","126,38",610.79M,-0.48%,"Jan 03, 2021","3824,68","3764,61","3826,69","3662,71",-,1.83%
"Dec 27, 2020","132,69","133,99","138,79","131,72",441.10M,0.55%,"Dec 27, 2020","3756,07","3723,03","3760,2","3723,03",-,1.43%
"Dec 20, 2020","131,97","125,02","134,4","123,45",433.76M,4.20%,"Dec 20, 2020","3703,06","3684,28","3711,24","3636,48",-,-0.17%
"Dec 13, 2020","126,65","122,6","129,58","121,54",621.76M,3.47%,"Dec 13, 2020","3709,41","3675,27","3726,7","3645,84",-,1.25%
"Dec 06, 2020","122,41","122,31","125,95","120,15",452.28M,0.13%,"Dec 06, 2020","3663,46","3694,73","3712,39","3633,4",-,-0.96%
"Nov 29, 2020","122,25","116,97","123,78","116,81",543.81M,4.85%,"Nov 29, 2020","3699,12","3634,18","3699,2","3594,39",-,1.67%
"Nov 22, 2020","116,59","117,18","117,62","112,59",365.02M,-0.64%,"Nov 22, 2020","3638,35","3566,82","3644,31","3552,77",-,2.27%
"Nov 15, 2020","117,34","118,92","120,99","116,81",389.49M,-1.61%,"Nov 15, 2020","3557,54","3600,16","3628,51","3543,84",-,-0.77%
"Nov 08, 2020","119,26","120,5","121,99","114,13",589.87M,0.48%,"Nov 08, 2020","3585,15","3583,04","3645,99","3511,91",-,2.16%
"Nov 01, 2020","118,69","109,11","119,62","107,32",609.57M,9.03%,"Nov 01, 2020","3509,44","3296,2","3529,05","3279,74",-,7.32%
"Oct 25, 2020","108,86","114,01","117,28","107,72",684.77M,-5.37%,"Oct 25, 2020","3269,96","3441,42","3441,42","3233,94",-,-5.64%
"Oct 18, 2020","115,04","119,96","120,42","114,28",519.57M,-3.34%,"Oct 18, 2020","3465,39","3493,66","3502,42","3415,34",-,-0.53%
"Oct 11, 2020","119,02","120,06","125,39","118,15",881.57M,1.75%,"Oct 11, 2020","3483,81","3500,02","3549,85","3440,89",-,0.19%
"Oct 04, 2020","116,97","113,91",117,"112,25",548.58M,3.49%,"Oct 04, 2020","3477,13","3367,27","3482,34","3354,54",-,3.84%
"Sep 27, 2020","113,02","115,01","117,72","112,22",641.24M,0.66%,"Sep 27, 2020","3348,44","3333,9","3397,18","3323,69",-,1.52%
"Sep 20, 2020","112,28","104,54","112,86","103,1",847.21M,5.09%,"Sep 20, 2020","3298,46","3285,57","3323,35","3209,45",-,-0.63%
"Sep 13, 2020","106,84","114,72","118,83","106,09",944.93M,-4.61%,"Sep 13, 2020","3319,47","3363,56","3428,92","3292,4",-,-0.64%
"Sep 06, 2020",112,"113,95","120,5",110,771.44M,-7.41%,"Sep 06, 2020","3340,97","3371,88","3425,55","3310,47",-,-2.51%
"Aug 30, 2020","120,96","127,58","137,98","110,89",1.17B,-3.08%,"Aug 30, 2020","3426,96","3509,73","3588,11","3349,63",-,-2.31%
"Aug 23, 2020","124,81","128,7","128,79","123,05",1.06B,0.35%,"Aug 23, 2020","3508,01","3418,09","3509,23","3413,13",-,3.26%
"Aug 16, 2020","124,37","116,06","124,87","113,96",835.69M,8.23%,"Aug 16, 2020","3397,16","3380,86","3399,96","3354,69",-,0.72%
"Aug 09, 2020","114,91","112,6","116,04","109,11",941.90M,3.42%,"Aug 09, 2020","3372,85","3356,04","3387,89","3326,44",-,0.64%
"Aug 02, 2020","111,11","108,2","114,41","107,89",1.00B,4.57%,"Aug 02, 2020","3351,28","3288,26","3352,54","3284,53",-,2.45%
"Jul 26, 2020","106,26","93,71","106,42","93,25",847.59M,14.73%,"Jul 26, 2020","3271,12","3219,84","3272,17","3204,13",-,1.73%
"Jul 19, 2020","92,61","96,42","99,25","89,14",665.41M,-3.85%,"Jul 19, 2020","3215,63","3224,29","3279,99","3200,05",-,-0.28%
"Jul 12, 2020","96,33","97,26","99,96","93,88",718.60M,0.42%,"Jul 12, 2020","3224,73","3205,08","3238,28","3127,66",-,1.25%
"Jul 05, 2020","95,92","92,5","96,32","92,47",564.07M,5.37%,"Jul 05, 2020","3185,04","3155,29","3186,82","3115,7",-,1.76%
"Jun 28, 2020","91,03","88,31","92,62","87,82",495.65M,2.96%,"Jun 28, 2020","3130,01","3018,59","3165,81","2999,74",-,4.02%
