Date,Price,Open,High,Low,Vol.,Change %
"Mar 11, 2021","3953,95","3926,8","3958,4","3921,42",-,1.41%
"Mar 10, 2021","3898,81","3891,99","3917,35","3885,73",-,0.60%
"Mar 09, 2021","3875,44","3851,93","3903,76","3851,93",-,1.42%
"Mar 08, 2021","3821,35","3844,39","3881,06","3819,25",-,-0.54%
"Mar 05, 2021","3841,94","3793,58","3851,69","3730,19",-,1.95%
"Mar 04, 2021","3768,47","3818,53","3843,67","3723,34",-,-1.34%
"Mar 03, 2021","3819,72","3863,99","3874,47","3818,86",-,-1.31%
"Mar 02, 2021","3870,29","3903,64","3906,41","3868,57",-,-0.81%
"Mar 01, 2021","3901,82","3842,51","3914,5","3842,51",-,2.38%
"Feb 26, 2021","3811,15","3839,66","3861,08","3789,54",-,-0.48%
"Feb 25, 2021","3829,34","3915,8","3925,02","3814,04",-,-2.45%
"Feb 24, 2021","3925,43","3873,71","3928,65","3859,6",-,1.14%
"Feb 23, 2021","3881,37","3857,07","3895,98","3805,59",-,0.13%
"Feb 22, 2021","3876,5","3885,55","3902,92","3874,71",-,-0.77%
"Feb 19, 2021","3906,71","3921,16","3930,41","3903,07",-,-0.19%
"Feb 18, 2021","3913,97","3915,86","3921,98","3885,03",-,-0.44%
"Feb 17, 2021","3931,33","3918,5","3933,61","3900,43",-,-0.03%
"Feb 16, 2021","3932,59","3939,61","3950,43","3923,85",-,-0.06%
"Feb 12, 2021","3934,83","3911,65","3937,23","3905,78",-,0.47%
"Feb 11, 2021","3916,38","3916,4","3925,99","3890,39",-,0.17%
"Feb 10, 2021","3909,88","3920,78","3931,5","3884,94",-,-0.03%
"Feb 09, 2021","3911,23","3910,49","3918,35","3902,64",-,-0.11%
"Feb 08, 2021","3915,59","3892,59","3915,77","3892,59",-,0.74%
"Feb 05, 2021","3886,83","3878,3","3894,56","3874,93",-,0.39%
"Feb 04, 2021","3871,74","3836,66","3872,42","3836,66",-,1.09%
"Feb 03, 2021","3830,17","3840,27","3847,51","3816,68",-,0.10%
"Feb 02, 2021","3826,31","3791,84","3843,09","3791,84",-,1.39%
"Feb 01, 2021","3773,86","3731,17","3784,32","3725,62",-,1.61%
"Jan 29, 2021","3714,24","3778,05","3778,05","3694,12",-,-1.93%
"Jan 28, 2021","3787,38","3755,75","3830,5","3755,75",-,0.98%
"Jan 27, 2021","3750,77","3836,83","3836,83","3732,48",-,-2.57%
"Jan 26, 2021","3849,62","3862,96","3870,9","3847,78",-,-0.15%
"Jan 25, 2021","3855,36","3851,68","3859,23","3797,16",-,0.36%
"Jan 22, 2021","3841,47","3844,24","3852,31","3830,41",-,-0.30%
"Jan 21, 2021","3853,07","3857,46","3861,45","3845,05",-,0.03%
"Jan 20, 2021","3851,85","3816,22","3859,75","3816,22",-,1.39%
"Jan 19, 2021","3798,91","3781,88","3804,53","3780,37",-,0.81%
"Jan 15, 2021","3768,25","3788,73","3788,73","3749,62",-,-0.72%
"Jan 14, 2021","3795,54","3814,98","3823,6","3792,86",-,-0.38%
"Jan 13, 2021","3809,84","3802,23","3820,96","3791,5",-,0.23%
"Jan 12, 2021","3801,19","3801,62","3810,78","3776,51",-,0.04%
"Jan 11, 2021","3799,61","3803,14","3817,86","3789,02",-,-0.66%
"Jan 08, 2021","3824,68","3815,05","3826,69","3783,6",-,0.55%
"Jan 07, 2021","3803,79","3764,71","3811,55","3764,71",-,1.48%
"Jan 06, 2021","3748,14","3712,2","3783,04","3705,34",-,0.57%
"Jan 05, 2021","3726,86","3698,02","3737,83","3695,07",-,0.71%
"Jan 04, 2021","3700,65","3764,61","3769,99","3662,71",-,-1.48%
"Dec 31, 2020","3756,07","3733,27","3760,2","3726,88",-,0.64%
